nome;categoria;subcategoria;sku_referencia;ncm
Bata Especial I;bazar;;BAZ-BATA1-UNICO;
Bata Especial II;bazar;;BAZ-BATA2-UNICO;
Bata Especial III;bazar;;BAZ-BATA3-UNICO;
Bolsa Briana;bolsas;;BOL-BRIA-CAQUI-UNICO;
Bolsa Flora;bolsas;;BOL-FLOR-CAQUI-UNICO;
Bolsa Liberty;bolsas;;BOL-LIB-NAT-UNICO;
Bolsa Lyra;bolsas;;BOL-LYRA-CAQUI-UNICO;
Bolsa Maia;bolsas;;BOL-MAIA-V1-UNICO;
Bolsa Mandala;bolsas;;BOL-MAND-CAQUI-UNICO;
Bolsa Nirvana;bolsas;;BOL-NIRV-CAQUI-UNICO;
Bolsa Romana;bolsas;;BOL-ROMA-NAT-UNICO;
Mochila Wood Stock;bolsas;;MOC-WOOD-V1-UNICO;
Pochete;bolsas;;POCH-V1-UNICO;
Bata Asteca;roupas;batas;BAT-ASTE-V1-UNICO;
Bata Bia;roupas;batas;BAT-BIA-V1-UNICO;
Bata Inca;roupas;batas;BAT-INCC-V1-UNICO;
Bata Maia;roupas;batas;BAT-MAIB-V1-UNICO;
Bata Malu;roupas;batas;BAT-MALU-V1-UNICO;
Bata Sino;roupas;batas;BAT-SINO-NAT-UNICO;
Bata Yoko;roupas;batas;BAT-YOKO-V1-UNICO;
Vestido Bali;roupas;vestidos;VES-BALI-G;
Vestido Dani;roupas;vestidos;VES-DANI-G;
Vestido Fiji;roupas;vestidos;VES-FIJI-G;
Vestido Havana;roupas;vestidos;VES-HAVA-G;
Vestido Inca;roupas;vestidos;VES-INCA-G;
Vestido Maia;roupas;vestidos;VES-MAIA-G;
Vestido Verona;roupas;vestidos;VES-VERO-G;
Vestido Viena;roupas;vestidos;VES-VIEN-G;
